"SNO","group_name","label_name","label_value_in_english","label_value_in_entered_language"
"382","","completed-on","Completed On",""
"383","","Ecommerce","E-commerce",""
"384","","active","Active",""
"385","","settings-edit","Settings Edit",""
"386","","edit-implementations","Update Implementations",""
"387","","completed-task","No. of Task completed",""
"388","","completed-by","Completed By",""
"389","","email","Email",""
"390","","inactive","Inactive",""
"391","","settings-delete","Settings Delete",""
"392","","activity-type","Activity Type",""
"393","","no-of-task","No. of Task",""
"394","","approve","Approve",""
"395","","logs","Logs",""
"396","","Masters","Masters",""
"397","","employees-browse","Employee Browse",""
"398","","add-reminder","Add Reminders",""
"399","","ip-completed","No. of IP completed",""
"400","","click-yes-to-approve-ip","Click Yes To Approve IP",""
"401","","Chat","Chat",""
"402","","licenses","Licenses",""
"403","","employees-read","Employee Read",""
"404","","add-emergency-reminder","Add Emergency Reminders",""
"405","","saved","Saved",""
"406","","not-completed","Not Completed",""
"407","","inactive-this-journal","Inactive this journal",""
"408","","modules","Modules",""
"409","","employees-add","Employee Add",""
"410","","add-reminder-details","Add reminder details to get notifications.",""
"411","","completed-by-staff-not-on-time","Completed by staff not on time",""
"412","","completed-date-&-completed-by","Completed Date & Completed By",""
"413","","sign-this-journal","Sign This Journal",""
"414","","roles","Roles",""
"415","","employees-edit","Employee Edit",""
"416","","add-reminder-to-emergency","Add reminder to emergency numbers.",""
"417","","completed-by-staff-on-time","Completed by staff on time",""
"418","","complete-this-deviation     ","Do you want to Sign it.",""
"419","","edited-at","Edited At",""
"420","","packages","Packages",""
"421","","employees-delete","Employee Delete",""
"422","","before-start","Before Start",""
"423","","pending-task","No. of Task pending",""
"424","","dataset-total-activity","Total Activity",""
"425","","sign-at","Sign At",""
"426","","are-you-sure","Are You Sure",""
"427","","patients-browse","Patients Browse",""
"428","","after-end","After End",""
"429","","ip-pending","No. of IP pending",""
"430","","dataset-total-completed-by-patient-itself","Completed By Patient Itself",""
"431","","personal-no","Personal no",""
"432","","delete-this","Delete {{name}}?",""
"433","","patients-read","Patients Read",""
"434","","on-start","On Start",""
"435","","no.-of-ip","No. of IP",""
"436","","dataset-total-completed-by-staff-not-0n-time","Completed By Staff Not On TIme",""
"437","","sign-by","Sign By",""
"438","","you-wont-be-able-to-revert-this","You won't be able to revert this!",""
"439","","patients-add","Patients Add",""
"440","","time","Time",""
"441","","no.-of-activity-completed","No. of activity completed",""
"442","","dataset-total-completed-by-staff-on-time","Completed By Staff On Time",""
"443","","not-signed","Not Signed",""
"444","","deleted","Deleted!",""
"445","","patients-edit","Patients Edit",""
"446","","time-in-minute","Time in minutes",""
"447","","no.-of-activity-pending","No. of activity pending",""
"448","","dataset-total-compulsory","Compulsory",""
"449","","total-active","Total active",""
"450","","item-deleted","Delete Successful",""
"451","","patients-delete","Patients Delete",""
"452","","enable","Enable",""
"453","","create-followup","Create Followup",""
"454","","dataset-total-not-done-by-employee","Not Done By Employee",""
"455","","total-secret","Total secret",""
"456","","yes","Yes",""
"457","","nurses-browse","Nurses Browse",""
"458","","time-limit-reminder","Please enter a valid time in minutes from 1 to 240",""
"459","","create-activity","Create Activity",""
"460","","dataset-total-patient-did-not-want","Patient Did Not Want",""
"461","","click-to-sign","Click to sign",""
"462","","change-status","Change Status",""
"463","","nurses-read","Nurses Read",""
"464","","you-will-be-reminded-immediately","You will be reminded immediately",""
"465","","create-task","Create Task",""
"466","","deviation-completed","Deviation is Signed",""
"467","","edit-action/result","Edit Action/Result",""
"468","","data-edited","Data Updated Successfully",""
"469","","nurses-add","Nurses Add",""
"470","","you-will-be-reminded-in","You will be reminded in",""
"471","","already-saved","This {{item}} is already saved.",""
"472","","completed-failed","Failed to complete this action",""
"473","","total-signed","Total signed",""
"474","","unable-to-create","Unable to create, Please retry.",""
"475","","nurses-edit","Nurses Edit",""
"476","","you-will-be-reminded-before","You will be reminded before",""
"477","","decision-document","Decisions & Documents",""
"478","","completed-at","Completed At",""
"479","","with-activity","With activity",""
"480","","unable-to-update","Unable to update, Please retry.",""
"481","","nurses-delete","Nurses Delete",""
"482","","you-will-be-reminded-after","You will be reminded after",""
"483","","seasonal-or-regular","Seasonal or Regular?",""
"484","","&-completed-by","& Completed By",""
"485","","without-activity","Without activity",""
"486","","refresh-data","Refresh Data",""
"487","","departments-browse","Departments Browse",""
"488","","you-will-be-reminded-emergency","You will be reminded in emergency after",""
"489","","date-&-time","Date/Time & Repeater",""
"490","","with_or_without_activity","With Activity",""
"491","","no-activity-found","no activity found",""
"492","","close","Close",""
"493","","departments-read","Departments Read",""
"494","","remind-on-emergency","To Emergency Number.",""
"495","","date-time-repeat-details","Add Date/Time & Repeater",""
"496","","action-stats","Action Stats",""
"497","","result","Result",""
"498","","done","Done",""
"499","","departments-add","Departments Add",""
"500","","on-device","Send as Notification",""
"501","","add-date-&-time","Add Date and Time",""
"502","","patient-stats","Patient Stats",""
"503","","Todo","Todo",""
"504","","create-new-category","Create New Category",""
"505","","departments-edit","Departments Edit",""
"506","","on-text","Send as Text Message",""
"507","","ip-patient","IP & Patient",""
"508","","read-all-notifications","Read All Notifications",""
"509","","activity-note","Activity note",""
"510","","parent-category","Parent Category",""
"511","","departments-delete","Departments Delete",""
"512","","remind-on-device","Remind as Notification",""
"513","","select-ip-patient","Select IP and Patient",""
"514","","ip-with","IP With",""
"515","","please-select-patient","Please select patient",""
"516","","category-color","Category Color",""
"517","","activitySelf-browse","Activity Self Browse",""
"518","","remind-on-text","Remind as Text Message",""
"519","","cat-sbcat","Patient & Category",""
"520","","not-approve","Not Approved",""
"521","","sign","Sign",""
"522","","please-select-valid-color","Please select a valid color",""
"523","","activitySelf-read","Activity Self Read",""
"524","","add-urls","Add URLs",""
"525","","select-cat-subcat","Select Category and SubCategory",""
"526","","no-more-data","No More Data",""
"527","","action/result","Action/Result",""
"528","","edit-category","Update Category",""
"529","","activitySelf-add","Activity Self Add",""
"530","","add-urls-details","You can add URLs",""
"531","","emp-branch","Employee & Branch",""
"532","","no-document","No document available",""
"533","","calendar","Calendar",""
"534","","not-authorized","You are not authorized!",""
"535","","activitySelf-edit","Activity Self Edit",""
"536","","video-link","Video URL",""
"537","","select-emp-branch","Select Employee and Branch",""
"538","","latest-entry","Latest Entry",""
"539","","Shop","Shop",""
"540","","no-permission-message","Ops!!, Look likes you don't have permissions to access this page.",""
"541","","activitySelf-delete","Activity Self Delete",""
"542","","address-link","Address Link",""
"543","","title-disc","Title, Description & Others",""
"544","","task-complete","Complete Task",""
"545","","created-by","Created By",""
"546","","enter-name","Enter Name",""
"547","","activityPatients-browse","Activity Patients Browse",""
"548","","information-link","Information Link",""
"549","","fill-title-disc","Fill Title, Description and others",""
"550","","mark-all-read","Mark All as Read",""
"551","","Wish List","Wish List",""
"552","","company-types","Company Types",""
"553","","activityPatients-read","Activity Patients Read",""
"554","","comment","Comment",""
"555","","how-many-days","How many times per day?",""
"556","","journal-stats","Journal Stats",""
"557","","details","Details",""
"558","","manage-types","Manage Types",""
"559","","activityPatients-add","Activity Patients Add",""
"560","","not-applicable","Not Applicable",""
"561","","activity-time","Activity Time",""
"562","","goal-sub-goal-stats","Goal/SubGoal Report",""
"563","","Checkout","Checkout",""
"564","","manage-packages","Manage Packages",""
"565","","activityPatients-edit","Activity Patients Edit",""
"566","","tag","Tag",""
"567","","enter-time","Enter start and end time",""
"568","","dataset-total-goal","Total Goal",""
"569","","User","User",""
"570","","edit-package","Edit Package",""
"571","","activityPatients-delete","Activity Patients Delete",""
"572","","repeat","Repeat",""
"573","","calendar-timeline","Calendar & Timeline",""
"574","","dataset-total-sub-goal","Total SubGoal",""
"575","","List","List",""
"576","","create-new-package","Create New Package",""
"577","","activityEmployees-browse","Activity Employee Browse",""
"578","","share","Share",""
"579","","patient-did-not-want","Patient did not want",""
"580","","assigned-employee","Assigned Employee",""
"581","","secret-journal","Secret Journal",""
"582","","activity-classification","Activities Classification",""
"583","","activityEmployees-read","Activity Employee Read",""
"584","","task-edit","Task Edit",""
"585","","not-done-by-employee","Not done by employee",""
"586","","marked-complete-by","Marked Completed By",""
"587","","view","View",""
"588","","activities","Manage Activities",""
"589","","activityEmployees-add","Activity Employee Add",""
"590","","add-task","Add Task",""
"591","","completed-by-patient-itself","Completed by patient itself",""
"592","","marked-incomplete-by","Marked Not Done By",""
"593","","edit","Edit",""
"594","","failed","Failed!",""
"595","","activityEmployees-edit","Activity Employee Edit",""
"596","","upcoming","Upcoming",""
"597","","completed-by-staff","Completed by staff",""
"598","","marked-not-applicable-by","Marked Not Applicable By",""
"599","","Starter Kit","Starter Kit",""
"600","","item-deleted-failed","Delete Failed, Please type after some time.",""
"601","","activityEmployees-delete","Activity Employee Delete",""
"602","","pending","Pending",""
"603","","fake-email","Create Fake Email",""
"604","","total-completed","Total Completed",""
"605","","1 Column","1 Column",""
"606","","password-changed","Password Changed Successfully",""
"607","","journalSelf-browse","Journal Self Browse",""
"608","","tasks","Tasks",""
"609","","request-subcategory-edit","Request Edit",""
"610","","today","Today",""
"611","","2 Columns","2 Columns",""
"612","","module","Module Master",""
"613","","journalSelf-read","Journal Self Read",""
"614","","tasks-create","Create Task",""
"615","","request-edit","Request Text",""
"616","","task-for","Task For",""
"617","","Fixed Navbar","Fixed Navbar",""
"618","","user-types","User Type List",""
"619","","journalSelf-add","Journal Self Add",""
"620","","update-task","Update Task",""
"621","","add-task-details","You can add your task details here.",""
"622","","Please-download-this-Excel-file-and-fill-all-the-details-accordingly.-After-that-you-can-upload-the-file-to-import-your-items.","Please download this Excel file and fill all the details accordingly. After that you can upload the file to import your items.",""
"623","","Floating Navbar","Floating Navbar",""
"624","","usertypes","All types users",""
"625","","journalSelf-edit","Journal Self Edit",""
"626","","add-subtask","Add Subtask",""
"627","","risky-and-must","Risky And Must",""
"628","","download-sample-file","Download Sample File",""
"629","","Fixed Layout","Fixed Layout",""
"630","","manage-licenses","Manage All Licenses",""
"631","","journalSelf-delete","Journal Self Delete",""
"632","","subtask-create","Subtask Create",""
"633","","create-custom-unique-id","Generate",""
"634","","send-request","Send Request",""
"635","","Static Layout","Static Layout",""
"636","","request","Request",""
"637","","journalEmployees-browse","Journal Employee Browse",""
"638","","activity-task","Activity Task",""
"639","","persons-approval","Person's Approval",""
"640","","no-notifications","No Notification",""
"641","","Dark Layout","Dark Layout",""
"642","","title","Title",""
"643","","journalEmployees-read","Journal Employee read",""
"644","","subtask","Subtask",""
"645","","by-mobile-bank","Via Mobile Bank",""
"646","","view-all-notifications","View All Notifications",""
"647","","Light Layout","Light Layout",""
"648","","description","Description",""
"649","","journalEmployees-add","Journal Employee add",""
"650","","task","Task",""
"651","","by-digital-signature","Via Digital Signature",""
"652","","edit-journal","Edit Journal",""
"653","","UI Elements","UI Elements",""
"654","","message","Message",""
"655","","journalEmployees-edit","Journal Employee edit",""
"656","","add-attachment","Add Attachment",""
"657","","by-manual","Manually",""
"658","","branch-suggeston","Branch Suggestion",""
"659","","Content","Content",""
"660","","password","Password",""
"661","","journalEmployees-delete","Journal Employee delete",""
"662","","add-attachment-details","Add attachments",""
"663","","mobile-bank","Mobile Bank",""
"664","","adminEmployee","Admin Employee",""
"665","","Grid","Grid",""
"666","","please_sign_in","Please sign-in to your account and start the adventure",""
"667","","journalPatients-add","Journal Patients Add",""
"668","","select-file","Select File",""
"669","","digital-signature","Digital Signature",""
"670","","ip-not-assigned","No IP Assigned",""
"671","","Typography","Typography",""
"672","","forgot-password","Forgot Password?",""
"673","","journalPatients-browse","Journal Patients Browse",""
"674","","invalid-file-selected","Invalid File Selected",""
"675","","manual","Manual",""
"676","","deviation-stats","Deviation Stats",""
"677","","Text Utilities","Text Utilities",""
"678","","remember-me","Remember Me",""
"679","","journalPatients-read","Journal Patients Read",""
"680","","upload","Upload",""
"681","","task-time","Task Time",""
"682","","no-deviation","No deviation is available here",""
"683","","Syntax Highlighter","Syntax Highlighter",""
"684","","sign-in","Sign In",""
"685","","journalPatients-edit","Journal Patients Edit",""
"686","","drop-files-here-or-click","Drop files here or click",""
"687","","date-time","Date & Time",""
"688","","patient-date","Patient & Date",""
"689","","Icons","Icons",""
"690","","send-reset-link","Send Reset Link",""
"691","","journalPatients-delete","Journal Patients Delete",""
"692","","browse","Browse",""
"693","","add-date-time","Add Date & time",""
"694","","click-to-preview","Click to preview image.",""
"695","","Feather","Feather",""
"696","","forgot-password-message","Enter your email and we'll send you instructions to reset your password",""
"697","","deviationSelf-browse","Deviation Self Browse",""
"698","","through-your-machine","thorough your machine",""
"699","","attachments","Attachments",""
"700","","edited-date","Edited Date",""
"701","","Card","Card",""
"702","","back-to-login","Back to Login",""
"703","","deviationSelf-read","Deviation Self Read",""
"704","","max-upload-limit-reached","Max upload limit reached.",""
"705","","attachments-details","Add Attachments Details",""
"706","","edited-by","Edited By",""
"707","","upload-document","Upload Document",""
"708","","reset-password","Reset Password",""
"709","","deviationSelf-add","Deviation Self Add",""
